"Interval start","Alle Pakete"
11,1.18225e+06
12,0
13,0
14,0
15,0
16,0
17,1.11304e+06
18,0
19,0
20,0
21,0
22,0
23,1.12556e+06
24,0
25,0
26,0
27,0
28,102
29,1.58491e+06
30,388
31,388
32,92
33,0
34,0
35,1.05868e+06
36,0
37,0
38,0
39,0
40,0
41,1.10616e+06
42,0
43,0
44,0
45,0
46,0
47,1.54933e+06
48,0
49,0
50,0
51,0
52,0
53,1.48325e+06
54,0
55,0
56,0
57,0
58,0
59,1.01476e+06
60,0
61,0
62,0
63,0
64,0
65,1.25579e+06
66,0
67,0
68,0
69,0
70,0
71,1.20229e+06
72,0
73,0
74,0
75,0
76,102
77,1.65191e+06
78,0
79,0
80,0
81,0
82,0
83,1.1577e+06
84,0
85,0
86,0
87,0
88,0
89,986636
90,0
91,0
92,0
93,0
94,0
95,1.10851e+06
96,0
97,0
98,0
99,0
100,243
101,1.4182e+06
102,0
103,0
104,0
105,0
106,0
107,1.32572e+06
108,0
109,0
110,0
111,0
112,0
113,1.14832e+06
114,0
115,0
116,0
117,0
118,0
119,1.41619e+06
120,0
121,0
122,0
123,0
124,102
125,1.75237e+06
126,0
127,0
128,0
129,0
130,0
131,1.50327e+06
132,0
133,0
134,0
135,0
136,0
137,1.26064e+06
138,0
139,0
140,0
141,0
142,0
143,1.31809e+06
144,0
145,0
146,0
147,0
148,0
149,1.30572e+06
150,0
151,0
152,0
153,0
154,0
155,1.20546e+06
156,0
157,0
158,0
159,0
160,0
161,1.36232e+06
162,0
163,0
164,0
165,0
166,0
167,1.0237e+06
168,0
169,0
170,0
171,0
172,102
173,937920
174,0
175,0
176,0
177,0
178,0
179,1.13506e+06
180,0
181,0
182,0
183,0
184,0
185,657200
186,0
187,0
188,0
189,0
190,0
191,1.5242e+06
